Run	Fitness1	Solution1	Fitness2	Solution2
4	0.000000	[51.344164,52.760013,45.017359]	0.000000	[47.591382,47.709252,56.280815]
4	0.000000	[47.591382,47.709252,56.280815]	0.000000	[51.171868,57.571006,46.728517]
4	0.000000	[51.171868,57.571006,46.728517]	0.000000	[46.281856,37.503737,38.603007]
4	0.000000	[46.281856,37.503737,38.603007]	0.000000	[52.482649,52.994411,44.691117]
4	0.000000	[52.482649,52.994411,44.691117]	0.000000	[52.082345,44.640966,39.451996]
4	0.000000	[52.082345,44.640966,39.451996]	0.000000	[48.482960,39.178691,40.849298]
4	0.000000	[48.482960,39.178691,40.849298]	0.000000	[43.386065,44.677618,52.892034]
4	0.000000	[43.386065,44.677618,52.892034]	0.000000	[52.830111,54.172049,51.067925]
4	0.000000	[52.830111,54.172049,51.067925]	0.000000	[48.572138,40.109433,42.420604]
4	0.000000	[48.572138,40.109433,42.420604]	0.000000	[41.184961,43.002663,50.645743]
4	0.000000	[41.184961,43.002663,50.645743]	0.000000	[54.205126,46.658160,48.095661]
4	0.000000	[54.205126,46.658160,48.095661]	0.000000	[51.091707,43.933026,41.442492]
4	0.000000	[51.091707,43.933026,41.442492]	0.000000	[40.112646,45.136037,38.876457]
4	0.000000	[40.112646,45.136037,38.876457]	0.000000	[50.054996,42.703495,49.058421]
4	0.000000	[50.054996,42.703495,49.058421]	0.000000	[44.055737,51.354093,42.848997]
4	0.000000	[44.055737,51.354093,42.848997]	0.000000	[48.236824,46.051538,43.293809]
4	0.000000	[48.236824,46.051538,43.293809]	0.000000	[43.333438,42.856564,51.406965]
4	0.000000	[43.333438,42.856564,51.406965]	0.000000	[48.289887,52.023805,48.975255]
4	0.000000	[48.289887,52.023805,48.975255]	0.000000	[52.701192,46.760430,47.562806]
4	0.000000	[52.701192,46.760430,47.562806]	0.000000	[51.233608,54.145948,51.347401]
5	0.000000	[48.822902,50.538835,48.962342]	0.000000	[52.806098,47.061176,48.182548]
5	0.000000	[52.806098,47.061176,48.182548]	0.000000	[38.623053,48.957619,49.226677]
5	0.000000	[38.623053,48.957619,49.226677]	0.000000	[49.033429,51.066873,46.559811]
5	0.000000	[49.033429,51.066873,46.559811]	0.000000	[46.350383,46.105059,44.199554]
5	0.000000	[46.350383,46.105059,44.199554]	0.000000	[48.708055,52.173534,44.703527]
5	0.000000	[48.708055,52.173534,44.703527]	0.000000	[45.590570,49.384072,41.264051]
5	0.000000	[45.590570,49.384072,41.264051]	0.000000	[54.588279,41.721057,42.634468]
5	0.000000	[54.588279,41.721057,42.634468]	0.000000	[40.707024,55.732861,49.689276]
5	0.000000	[40.707024,55.732861,49.689276]	0.000000	[49.013587,53.920928,51.157137]
5	0.000000	[49.013587,53.920928,51.157137]	0.000000	[50.796907,45.308100,43.059184]
5	0.000000	[50.796907,45.308100,43.059184]	0.000000	[43.291376,58.975265,47.377855]
5	0.000000	[43.291376,58.975265,47.377855]	0.000000	[49.041685,52.229886,44.216233]
5	0.000000	[49.041685,52.229886,44.216233]	0.000000	[47.422054,53.735438,45.646451]
5	0.000000	[47.422054,53.735438,45.646451]	0.000000	[43.107669,47.761846,48.724864]
5	0.000000	[43.107669,47.761846,48.724864]	0.000000	[43.933301,49.803182,47.831280]
5	0.000000	[43.933301,49.803182,47.831280]	0.000000	[50.167170,50.012987,45.558659]
5	0.000000	[50.167170,50.012987,45.558659]	0.000000	[45.130971,45.906828,52.264372]
5	0.000000	[45.130971,45.906828,52.264372]	0.000000	[49.831492,44.508632,49.434394]
5	0.000000	[49.831492,44.508632,49.434394]	0.000000	[48.934735,49.347464,41.888133]
5	0.000000	[48.934735,49.347464,41.888133]	0.000000	[45.112471,45.590317,40.035397]
6	0.000000	[51.887131,45.959589,47.191045]	0.000000	[42.722785,48.292233,41.705948]
